execution: local
        script: load-test/parsec_event_stage_load.js
        output: -

     scenarios: (100.00%) 1 scenario, 10 max VUs, 10m30s max duration (incl. graceful stop):
              * ramping_load: Up to 10 looping VUs for 10m0s over 3 stages (gracefulRampDown: 30s, gracefulStop: 30s)

INFO[0000] 🚀 Запуск теста с постепенным изменением нагрузки  source=console
INFO[0000] 📈 Профиль: 0 → 10 VUs (3 мин) → 10 VUs (4 мин) → 0 VUs (3 мин)  source=console
INFO[0000] 📊 Метрики будут доступны для построения графиков в Grafana/K6 Cloud  source=console
INFO[0148] ⬆️ [RAMPUP] VU:3/10 | Iter:15 | Skip:3950 | Status:200 | Time:6625ms | Events:250 | Size:1530.11KB  source=console
INFO[0149] ⬆️ [RAMPUP] VU:5/10 | Iter:6 | Skip:1900 | Status:200 | Time:10841ms | Events:250 | Size:1466.60KB  source=console
INFO[0149] ⬆️ [RAMPUP] VU:6/10 | Iter:2 | Skip:1000 | Status:200 | Time:10914ms | Events:250 | Size:1399.15KB  source=console
INFO[0149] ⬆️ [RAMPUP] VU:8/10 | Iter:10 | Skip:3200 | Status:200 | Time:7820ms | Events:250 | Size:1540.88KB  source=console
INFO[0150] ⬆️ [RAMPUP] VU:1/10 | Iter:25 | Skip:6250 | Status:200 | Time:9124ms | Events:250 | Size:1559.58KB  source=console
INFO[0150] ⬆️ [RAMPUP] VU:2/10 | Iter:20 | Skip:5100 | Status:200 | Time:9273ms | Events:250 | Size:1893.89KB  source=console
INFO[0150] ⬆️ [RAMPUP] VU:4/10 | Iter:31 | Skip:8050 | Status:200 | Time:8096ms | Events:250 | Size:1815.73KB  source=console
INFO[0151] ⬆️ [RAMPUP] VU:7/10 | Iter:0 | Skip:600 | Status:200 | Time:4980ms | Events:250 | Size:1350.35KB  source=console
INFO[0152] ⬆️ [RAMPUP] VU:3/10 | Iter:16 | Skip:4200 | Status:200 | Time:4590ms | Events:250 | Size:1703.31KB  source=console
INFO[0154] ⬆️ [RAMPUP] VU:6/10 | Iter:3 | Skip:1250 | Status:200 | Time:6924ms | Events:250 | Size:1476.70KB  source=console
INFO[0154] ⬆️ [RAMPUP] VU:5/10 | Iter:7 | Skip:2150 | Status:200 | Time:7806ms | Events:250 | Size:1619.83KB  source=console
INFO[0155] ⬆️ [RAMPUP] VU:2/10 | Iter:21 | Skip:5350 | Status:200 | Time:9809ms | Events:250 | Size:1558.19KB  source=console
INFO[0155] ⬆️ [RAMPUP] VU:7/10 | Iter:1 | Skip:850 | Status:200 | Time:4991ms | Events:250 | Size:1295.37KB  source=console
INFO[0155] ⬆️ [RAMPUP] VU:4/10 | Iter:32 | Skip:8300 | Status:200 | Time:9275ms | Events:250 | Size:1822.75KB  source=console
INFO[0156] ⬆️ [RAMPUP] VU:8/10 | Iter:11 | Skip:3450 | Status:200 | Time:11810ms | Events:250 | Size:1748.65KB  source=console
INFO[0157] ⬆️ [RAMPUP] VU:1/10 | Iter:26 | Skip:6500 | Status:200 | Time:11241ms | Events:250 | Size:1940.69KB  source=console
INFO[0158] ⬆️ [RAMPUP] VU:5/10 | Iter:8 | Skip:2400 | Status:200 | Time:4410ms | Events:250 | Size:1594.96KB  source=console
INFO[0158] ⬆️ [RAMPUP] VU:6/10 | Iter:4 | Skip:1500 | Status:200 | Time:6791ms | Events:250 | Size:1369.29KB  source=console
INFO[0159] ⬆️ [RAMPUP] VU:3/10 | Iter:17 | Skip:4450 | Status:200 | Time:9979ms | Events:250 | Size:1663.38KB  source=console
INFO[0159] ⬆️ [RAMPUP] VU:2/10 | Iter:22 | Skip:5600 | Status:200 | Time:7887ms | Events:250 | Size:1619.71KB  source=console
INFO[0160] ⬆️ [RAMPUP] VU:7/10 | Iter:2 | Skip:1100 | Status:200 | Time:8317ms | Events:250 | Size:1472.88KB  source=console
INFO[0161] ⬆️ [RAMPUP] VU:4/10 | Iter:33 | Skip:8550 | Status:200 | Time:8396ms | Events:250 | Size:2117.80KB  source=console
INFO[0161] ⬆️ [RAMPUP] VU:5/10 | Iter:9 | Skip:2650 | Status:200 | Time:4966ms | Events:250 | Size:1551.12KB  source=console
INFO[0162] ⬆️ [RAMPUP] VU:3/10 | Iter:18 | Skip:4700 | Status:200 | Time:5245ms | Events:250 | Size:1791.42KB  source=console
INFO[0163] ⬆️ [RAMPUP] VU:8/10 | Iter:12 | Skip:3700 | Status:200 | Time:11816ms | Events:250 | Size:1604.29KB  source=console
INFO[0163] ⬆️ [RAMPUP] VU:2/10 | Iter:23 | Skip:5850 | Status:200 | Time:4490ms | Events:250 | Size:1722.65KB  source=console
INFO[0163] ⬆️ [RAMPUP] VU:1/10 | Iter:27 | Skip:6750 | Status:200 | Time:13607ms | Events:250 | Size:1966.34KB  source=console
INFO[0164] ⬆️ [RAMPUP] VU:6/10 | Iter:5 | Skip:1750 | Status:200 | Time:10283ms | Events:250 | Size:1592.06KB  source=console
INFO[0165] ⬆️ [RAMPUP] VU:7/10 | Iter:3 | Skip:1350 | Status:200 | Time:7323ms | Events:250 | Size:1437.20KB  source=console
INFO[0166] ⬆️ [RAMPUP] VU:4/10 | Iter:34 | Skip:8800 | Status:200 | Time:9495ms | Events:250 | Size:2096.98KB  source=console
INFO[0167] ⬆️ [RAMPUP] VU:1/10 | Iter:28 | Skip:7000 | Status:200 | Time:5390ms | Events:250 | Size:1864.65KB  source=console
INFO[0167] ⬆️ [RAMPUP] VU:5/10 | Iter:10 | Skip:2900 | Status:200 | Time:9737ms | Events:250 | Size:1276.87KB  source=console
INFO[0167] ⬆️ [RAMPUP] VU:3/10 | Iter:19 | Skip:4950 | Status:200 | Time:9693ms | Events:250 | Size:1819.84KB  source=console
INFO[0167] ⬆️ [RAMPUP] VU:8/10 | Iter:13 | Skip:3950 | Status:200 | Time:5853ms | Events:250 | Size:1530.11KB  source=console
INFO[0168] ⬆️ [RAMPUP] VU:2/10 | Iter:24 | Skip:6100 | Status:200 | Time:7183ms | Events:250 | Size:1797.97KB  source=console
INFO[0170] ⬆️ [RAMPUP] VU:7/10 | Iter:4 | Skip:1600 | Status:200 | Time:6672ms | Events:250 | Size:1478.33KB  source=console
INFO[0171] ⬆️ [RAMPUP] VU:10/10 | Iter:0 | Skip:900 | Status:200 | Time:7353ms | Events:250 | Size:1310.25KB  source=console
INFO[0171] ⬆️ [RAMPUP] VU:5/10 | Iter:11 | Skip:3150 | Status:200 | Time:6597ms | Events:250 | Size:1502.74KB  source=console
INFO[0171] ⬆️ [RAMPUP] VU:6/10 | Iter:6 | Skip:2000 | Status:200 | Time:9790ms | Events:250 | Size:1429.40KB  source=console
INFO[0171] ⬆️ [RAMPUP] VU:1/10 | Iter:29 | Skip:7250 | Status:200 | Time:9055ms | Events:250 | Size:1851.27KB  source=console
INFO[0172] ⬆️ [RAMPUP] VU:4/10 | Iter:35 | Skip:9050 | Status:200 | Time:8697ms | Events:250 | Size:1757.94KB  source=console
INFO[0172] ⬆️ [RAMPUP] VU:2/10 | Iter:25 | Skip:6350 | Status:200 | Time:6364ms | Events:250 | Size:1708.30KB  source=console
INFO[0174] ⬆️ [RAMPUP] VU:3/10 | Iter:20 | Skip:5200 | Status:200 | Time:13259ms | Events:250 | Size:1829.38KB  source=console
INFO[0174] ⬆️ [RAMPUP] VU:8/10 | Iter:14 | Skip:4200 | Status:200 | Time:12273ms | Events:250 | Size:1703.31KB  source=console
INFO[0174] ⬆️ [RAMPUP] VU:7/10 | Iter:5 | Skip:1850 | Status:200 | Time:7486ms | Events:250 | Size:1529.47KB  source=console
INFO[0175] ⬆️ [RAMPUP] VU:10/10 | Iter:1 | Skip:1150 | Status:200 | Time:7387ms | Events:250 | Size:1479.28KB  source=console
INFO[0176] ⬆️ [RAMPUP] VU:4/10 | Iter:36 | Skip:9300 | Status:200 | Time:8201ms | Events:250 | Size:2036.48KB  source=console
INFO[0177] ⬆️ [RAMPUP] VU:5/10 | Iter:12 | Skip:3400 | Status:200 | Time:8310ms | Events:250 | Size:1754.99KB  source=console
INFO[0177] ⬆️ [RAMPUP] VU:6/10 | Iter:7 | Skip:2250 | Status:200 | Time:10428ms | Events:250 | Size:1647.94KB  source=console
INFO[0178] ⬆️ [RAMPUP] VU:2/10 | Iter:26 | Skip:6600 | Status:200 | Time:7978ms | Events:250 | Size:1890.63KB  source=console
INFO[0178] ⬆️ [RAMPUP] VU:10/10 | Iter:2 | Skip:1400 | Status:200 | Time:5174ms | Events:250 | Size:1465.63KB  source=console
INFO[0179] ⬆️ [RAMPUP] VU:7/10 | Iter:6 | Skip:2100 | Status:200 | Time:7938ms | Events:250 | Size:1514.86KB  source=console
