 execution: local
        script: load-test/parsec_event_five_user.js
        output: -

     scenarios: (100.00%) 1 scenario, 5 max VUs, 10m30s max duration (incl. graceful stop):
              * multiple_users: 5 looping VUs for 10m0s (gracefulStop: 30s)

INFO[0000] 🚀 Запуск теста: 5 пользователей, длительность 10 минут  source=console
INFO[0216] [VU2][ITER35] skip=8850 | статус=200 | время=4234ms | тело=2111497 байт  source=console
INFO[0217] [VU3][ITER37] skip=9450 | статус=200 | время=4468ms | тело=1780415 байт  source=console
INFO[0219] [VU1][ITER38] skip=9500 | статус=200 | время=6373ms | тело=1745890 байт  source=console
INFO[0219] [VU4][ITER36] skip=9300 | статус=200 | время=6411ms | тело=2085355 байт  source=console
INFO[0220] [VU2][ITER36] skip=9100 | статус=200 | время=3174ms | тело=1882290 байт  source=console
INFO[0222] [VU5][ITER38] skip=9900 | статус=200 | время=6216ms | тело=1817353 байт  source=console
INFO[0222] [VU3][ITER38] skip=9700 | статус=200 | время=3692ms | тело=1632915 байт  source=console
INFO[0224] [VU2][ITER37] skip=9350 | статус=200 | время=3134ms | тело=2034292 байт  source=console
INFO[0224] [VU1][ITER39] skip=9750 | статус=200 | время=5306ms | тело=1685120 байт  source=console
INFO[0225] [VU4][ITER37] skip=9550 | статус=200 | время=4908ms | тело=1762877 байт  source=console
INFO[0230] [VU5][ITER39] skip=10150 | статус=200 | время=5638ms | тело=2198142 байт  source=console
INFO[0230] [VU2][ITER38] skip=9600 | статус=200 | время=4650ms | тело=1773933 байт  source=console
INFO[0231] [VU3][ITER39] skip=9950 | статус=200 | время=7997ms | тело=2004661 байт  source=console
INFO[0232] [VU4][ITER38] skip=9800 | статус=200 | время=6518ms | тело=1581149 байт  source=console
INFO[0233] [VU1][ITER40] skip=10000 | статус=200 | время=6681ms | тело=2083810 байт  source=console
INFO[0233] [VU5][ITER40] skip=10400 | статус=200 | время=2628ms | тело=1936196 байт  source=console
INFO[0236] [VU1][ITER41] skip=10250 | статус=200 | время=3631ms | тело=2065029 байт  source=console
INFO[0237] [VU2][ITER39] skip=9850 | статус=200 | время=5463ms | тело=1585207 байт  source=console
INFO[0238] [VU3][ITER40] skip=10200 | статус=200 | время=5889ms | тело=2144526 байт  source=console
INFO[0238] [VU5][ITER41] skip=10650 | статус=200 | время=4051ms | тело=1867521 байт  source=console
INFO[0239] [VU4][ITER39] skip=10050 | статус=200 | время=5622ms | тело=2297660 байт  source=console
INFO[0240] [VU1][ITER42] skip=10500 | статус=200 | время=3339ms | тело=1951895 байт  source=console
INFO[0243] [VU2][ITER40] skip=10100 | статус=200 | время=5510ms | тело=2224577 байт  source=console
INFO[0244] [VU5][ITER42] skip=10900 | статус=200 | время=3967ms | тело=2113377 байт  source=console
INFO[0245] [VU4][ITER40] skip=10300 | статус=200 | время=5149ms | тело=1872239 байт  source=console
INFO[0245] [VU3][ITER41] skip=10450 | статус=200 | время=5915ms | тело=1928831 байт  source=console
INFO[0246] [VU1][ITER43] skip=10750 | статус=200 | время=5650ms | тело=2084276 байт  source=console
INFO[0248] [VU5][ITER43] skip=11150 | статус=200 | время=3918ms | тело=1530467 байт  source=console
INFO[0248] [VU2][ITER41] skip=10350 | статус=200 | время=4487ms | тело=1908649 байт  source=console
INFO[0249] [VU4][ITER41] skip=10550 | статус=200 | время=4245ms | тело=1996857 байт  source=console
INFO[0251] [VU5][ITER44] skip=11400 | статус=200 | время=3237ms | тело=1483974 байт  source=console
INFO[0252] [VU3][ITER42] skip=10700 | статус=200 | время=5748ms | тело=1885908 байт  source=console
INFO[0254] [VU1][ITER44] skip=11000 | статус=200 | время=6306ms | тело=1709817 байт  source=console
INFO[0255] [VU2][ITER42] skip=10600 | статус=200 | время=6161ms | тело=1878129 байт  source=console
INFO[0255] [VU4][ITER42] skip=10800 | статус=200 | время=4350ms | тело=2086112 байт  source=console
INFO[0256] [VU5][ITER45] skip=11650 | статус=200 | время=4334ms | тело=1507005 байт  source=console
INFO[0257] [VU3][ITER43] skip=10950 | статус=200 | время=4285ms | тело=2017015 байт  source=console
INFO[0259] [VU1][ITER45] skip=11250 | статус=200 | время=4119ms | тело=1490247 байт  source=console
INFO[0260] [VU2][ITER43] skip=10850 | статус=200 | время=3682ms | тело=2206610 байт  source=console
INFO[0261] [VU4][ITER43] skip=11050 | статус=200 | время=4887ms | тело=1658747 байт  source=console
INFO[0263] [VU1][ITER46] skip=11500 | статус=200 | время=3346ms | тело=1514098 байт  source=console
INFO[0263] [VU3][ITER44] skip=11200 | статус=200 | время=5935ms | тело=1503418 байт  source=console
INFO[0264] [VU5][ITER46] skip=11900 | статус=200 | время=6078ms | тело=1551308 байт  source=console
INFO[0265] [VU4][ITER44] skip=11300 | статус=200 | время=3260ms | тело=1436524 байт  source=console
INFO[0267] [VU2][ITER44] skip=11100 | статус=200 | время=6073ms | тело=1571867 байт  source=console
INFO[0267] [VU5][ITER47] skip=12150 | статус=200 | время=2842ms | тело=1507443 байт  source=console
INFO[0270] [VU1][ITER47] skip=11750 | статус=200 | время=6503ms | тело=1519443 байт  source=console
INFO[0271] [VU3][ITER45] skip=11450 | статус=200 | время=6417ms | тело=1484861 байт  source=console
INFO[0271] [VU2][ITER45] skip=11350 | статус=200 | время=3277ms | тело=1470802 байт  source=console
INFO[0273] [VU4][ITER45] skip=11550 | статус=200 | время=5500ms | тело=1563081 байт  source=console
INFO[0273] [VU5][ITER48] skip=12400 | статус=200 | время=4266ms | тело=1498477 байт  source=console
INFO[0275] [VU1][ITER48] skip=12000 | статус=200 | время=3969ms | тело=1555528 байт  source=console
INFO[0276] [VU3][ITER46] skip=11700 | статус=200 | время=5129ms | тело=1522142 байт  source=console
INFO[0277] [VU2][ITER46] skip=11600 | статус=200 | время=5279ms | тело=1544728 байт  source=console
INFO[0277] [VU4][ITER46] skip=11800 | статус=200 | время=2783ms | тело=1523679 байт  source=console
INFO[0281] [VU5][ITER49] skip=12650 | статус=200 | время=6263ms | тело=1492733 байт  source=console
INFO[0281] [VU4][ITER47] skip=12050 | статус=200 | время=3899ms | тело=1525462 байт  source=console
INFO[0282] [VU3][ITER47] skip=11950 | статус=200 | время=3793ms | тело=1535092 байт  source=console
INFO[0282] [VU1][ITER49] skip=12250 | статус=200 | время=5755ms | тело=1474325 байт  source=console
INFO[0283] [VU2][ITER47] skip=11850 | статус=200 | время=5593ms | тело=1540250 байт  source=console
INFO[0285] [VU4][ITER48] skip=12300 | статус=200 | время=2756ms | тело=1470687 байт  source=console
INFO[0287] [VU1][ITER50] skip=12500 | статус=200 | время=2855ms | тело=1481433 байт  source=console
INFO[0288] [VU5][ITER50] skip=12900 | статус=200 | время=5054ms | тело=1534418 байт  source=console
INFO[0289] [VU3][ITER48] skip=12200 | статус=200 | время=5480ms | тело=1536151 байт  source=console
INFO[0290] [VU2][ITER48] skip=12100 | статус=200 | время=5561ms | тело=1493428 байт  source=console
INFO[0291] [VU4][ITER49] skip=12550 | статус=200 | время=4268ms | тело=1507433 байт  source=console
INFO[0291] [VU1][ITER51] skip=12750 | статус=200 | время=3983ms | тело=1557419 байт  source=console
INFO[0294] [VU5][ITER51] skip=13150 | статус=200 | время=5778ms | тело=1546110 байт  source=console
INFO[0295] [VU3][ITER49] skip=12450 | статус=200 | время=5874ms | тело=1461403 байт  source=console
INFO[0296] [VU2][ITER49] skip=12350 | статус=200 | время=4870ms | тело=1475003 байт  source=console
INFO[0296] [VU4][ITER50] skip=12800 | статус=200 | время=4332ms | тело=1519595 байт  source=console
INFO[0296] [VU1][ITER52] skip=13000 | статус=200 | время=4304ms | тело=1489812 байт  source=console
INFO[0301] [VU5][ITER52] skip=13400 | статус=200 | время=5443ms | тело=1530437 байт  source=console
INFO[0301] [VU2][ITER50] skip=12600 | статус=200 | время=4630ms | тело=1537391 байт  source=console
INFO[0301] [VU1][ITER53] skip=13250 | статус=200 | время=4744ms | тело=1560487 байт  source=console
INFO[0302] [VU3][ITER50] skip=12700 | статус=200 | время=5917ms | тело=1531688 байт  source=console
